ProductionReportViewModel,ProductionReportViewModel.SectionId,ProductionReportViewModel.Section,ProductionReportViewModel.BuildingId,ProductionReportViewModel.Building,ProductionReportViewModel.MachineId,ProductionReportViewModel.MachineName,ProductionReportViewModel.MachineTypeId,ProductionReportViewModel.ChildMachineName,ProductionReportViewModel.ChildMachineId,ProductionReportViewModel.ItemId,ProductionReportViewModel.ItemName,ProductionReportViewModel.ProductWIPId,ProductionReportViewModel.WIPName,ProductionReportViewModel.CustomerId,ProductionReportViewModel.Customer,ProductionReportViewModel.Date,ProductionReportViewModel.FromDateTime,ProductionReportViewModel.ToDateTime,ProductionReportViewModel.Total,ProductionReportViewModel.Weight,ProductionReportViewModel.SCT,ProductionReportViewModel.Cavity,ProductionReportViewModel.Quantity,ProductionReportViewModel.AddedUser,ProductionReportViewModel.AddedDate,ProductionReportViewModel.RunningSCT,ProductionReportViewModel.StdQuantity,ProductionReportViewModel.IsManual,ProductionReportViewModel.Hour,ProductionReportViewModel.TotalProduction,ProductionReportViewModel.SSCode,ProductionReportViewModel.OrderNumber,ProductionReportViewModel.DoneBy
DAL.ViewModels.ProductionReportViewModel,0,"DIP> DPL> Plastic-27.1","","",0,IMM-160-128,0,IMM-160-128,0,0,"Classic  RTG container Thin Lid 350ML-01(481111807184301)","","Classic Rtg Cont Thin Lid 350ML-White(481111807154)",0,"Corp Sales",2026-02-15,"1/1/0001 12:00:00 AM","1/1/0001 12:00:00 AM",12.656000000,0.1391,0,0,0,"","1/1/0001 12:00:00 AM",0,0,False,0,"",620348,"",""
DAL.ViewModels.ProductionReportViewModel,0,"DIP> DPL> Plastic-27.1","","",0,IMM-160-128,0,IMM-160-128,0,0,"Classic  RTG container Thin Lid 350ML-01(481111807184301)","","Classic Rtg Cont Thin Lid 350ML-White(481111807154)",0,"Corp Sales",2026-02-16,"1/1/0001 12:00:00 AM","1/1/0001 12:00:00 AM",6.514000000,0.0717,0,0,0,"","1/1/0001 12:00:00 AM",0,0,False,0,"",620348,"",""
